SISTEMA -> CPU: 98.6% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 00:35:50
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:36:10
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:36:31
SISTEMA -> CPU: 98.6% | RAM: 69.7% | Temp: 27.8°C | Tiempo: 00:36:52
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:37:12
SISTEMA -> CPU: 98.6% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:37:33
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 00:37:53
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:38:13
SISTEMA -> CPU: 98.6% | RAM: 69.6% | Temp: 27.8°C | Tiempo: 00:38:34
SISTEMA -> CPU: 98.9% | RAM: 69.0% | Temp: 27.8°C | Tiempo: 00:38:54
SISTEMA -> CPU: 98.6% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 00:39:14
SISTEMA -> CPU: 98.4% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 00:39:35
SISTEMA -> CPU: 98.5% | RAM: 69.1% | Temp: 27.8°C | Tiempo: 00:39:55
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:40:16
SISTEMA -> CPU: 98.5% | RAM: 69.0% | Temp: 27.8°C | Tiempo: 00:40:36
SISTEMA -> CPU: 98.5% | RAM: 69.0% | Temp: 27.8°C | Tiempo: 00:40:57
SISTEMA -> CPU: 98.5% | RAM: 69.0% | Temp: 27.8°C | Tiempo: 00:41:18
SISTEMA -> CPU: 98.6% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:41:38
SISTEMA -> CPU: 98.6% | RAM: 69.1% | Temp: 27.8°C | Tiempo: 00:41:59
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:42:20
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:42:40
SISTEMA -> CPU: 98.5% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:43:01
SISTEMA -> CPU: 98.9% | RAM: 68.5% | Temp: 27.8°C | Tiempo: 00:43:21
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:43:41
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:44:02
SISTEMA -> CPU: 98.5% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 00:44:21
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 00:44:42
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:45:02
SISTEMA -> CPU: 98.7% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 00:45:22
SISTEMA -> CPU: 98.5% | RAM: 69.0% | Temp: 27.8°C | Tiempo: 00:45:42
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:46:03
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:46:23
SISTEMA -> CPU: 98.5% | RAM: 69.5% | Temp: 27.8°C | Tiempo: 00:46:43
SISTEMA -> CPU: 98.5% | RAM: 69.1% | Temp: 27.8°C | Tiempo: 00:47:04
SISTEMA -> CPU: 98.5% | RAM: 68.5% | Temp: 27.8°C | Tiempo: 00:47:24
SISTEMA -> CPU: 99.0% | RAM: 68.5% | Temp: 27.8°C | Tiempo: 00:47:44
SISTEMA -> CPU: 98.6% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:48:05
SISTEMA -> CPU: 98.5% | RAM: 68.3% | Temp: 27.8°C | Tiempo: 00:48:26
SISTEMA -> CPU: 98.6% | RAM: 67.9% | Temp: 27.8°C | Tiempo: 00:48:46
SISTEMA -> CPU: 98.5% | RAM: 67.9% | Temp: 27.8°C | Tiempo: 00:49:07
SISTEMA -> CPU: 98.5% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 00:49:28
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:49:48
SISTEMA -> CPU: 98.4% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:50:09
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:50:30
SISTEMA -> CPU: 98.5% | RAM: 68.1% | Temp: 27.8°C | Tiempo: 00:50:51
SISTEMA -> CPU: 98.5% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 00:51:11
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:51:32
SISTEMA -> CPU: 98.5% | RAM: 69.0% | Temp: 27.8°C | Tiempo: 00:51:53
SISTEMA -> CPU: 99.0% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:52:13
SISTEMA -> CPU: 98.5% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 00:52:34
SISTEMA -> CPU: 98.5% | RAM: 68.3% | Temp: 27.8°C | Tiempo: 00:52:54
SISTEMA -> CPU: 98.6% | RAM: 68.1% | Temp: 27.8°C | Tiempo: 00:53:15
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:53:36
SISTEMA -> CPU: 98.5% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:53:56
SISTEMA -> CPU: 98.6% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 00:54:16
SISTEMA -> CPU: 98.5% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 00:54:37
SISTEMA -> CPU: 98.7% | RAM: 68.5% | Temp: 27.8°C | Tiempo: 00:54:58
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:55:18
SISTEMA -> CPU: 98.5% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 00:55:39
SISTEMA -> CPU: 98.8% | RAM: 70.0% | Temp: 27.8°C | Tiempo: 00:56:03
