SISTEMA -> CPU: 98.4% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:34:58
SISTEMA -> CPU: 98.3% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:35:19
SISTEMA -> CPU: 98.4% | RAM: 62.1% | Temp: 27.8°C | Tiempo: 00:35:40
SISTEMA -> CPU: 98.4% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:36:01
SISTEMA -> CPU: 98.4% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:36:22
SISTEMA -> CPU: 98.4% | RAM: 62.8% | Temp: 27.8°C | Tiempo: 00:36:42
SISTEMA -> CPU: 98.4% | RAM: 62.1% | Temp: 27.8°C | Tiempo: 00:37:04
SISTEMA -> CPU: 98.5% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:37:24
SISTEMA -> CPU: 98.9% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:37:46
SISTEMA -> CPU: 98.4% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:38:06
SISTEMA -> CPU: 98.4% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:38:27
SISTEMA -> CPU: 98.5% | RAM: 62.5% | Temp: 27.8°C | Tiempo: 00:38:48
SISTEMA -> CPU: 98.4% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:39:09
SISTEMA -> CPU: 98.4% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:39:29
SISTEMA -> CPU: 98.4% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:39:50
SISTEMA -> CPU: 98.4% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:40:11
SISTEMA -> CPU: 98.4% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:40:32
SISTEMA -> CPU: 98.5% | RAM: 62.5% | Temp: 27.8°C | Tiempo: 00:40:53
SISTEMA -> CPU: 98.6% | RAM: 62.2% | Temp: 27.8°C | Tiempo: 00:41:15
SISTEMA -> CPU: 98.4% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:41:36
SISTEMA -> CPU: 98.4% | RAM: 62.5% | Temp: 27.8°C | Tiempo: 00:41:58
SISTEMA -> CPU: 98.8% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:42:20
SISTEMA -> CPU: 98.4% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:42:41
SISTEMA -> CPU: 98.5% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:43:03
SISTEMA -> CPU: 98.5% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:43:24
SISTEMA -> CPU: 98.4% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:43:45
SISTEMA -> CPU: 98.4% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:44:07
SISTEMA -> CPU: 98.5% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:44:29
SISTEMA -> CPU: 98.4% | RAM: 62.3% | Temp: 27.8°C | Tiempo: 00:44:50
SISTEMA -> CPU: 98.4% | RAM: 62.5% | Temp: 27.8°C | Tiempo: 00:45:12
SISTEMA -> CPU: 98.4% | RAM: 62.4% | Temp: 27.8°C | Tiempo: 00:45:33
SISTEMA -> CPU: 98.4% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:45:55
SISTEMA -> CPU: 98.5% | RAM: 62.6% | Temp: 27.8°C | Tiempo: 00:46:17
SISTEMA -> CPU: 98.4% | RAM: 62.9% | Temp: 27.8°C | Tiempo: 00:46:38
SISTEMA -> CPU: 98.9% | RAM: 62.8% | Temp: 27.8°C | Tiempo: 00:47:00
SISTEMA -> CPU: 98.4% | RAM: 62.8% | Temp: 27.8°C | Tiempo: 00:47:21
SISTEMA -> CPU: 98.5% | RAM: 63.0% | Temp: 27.8°C | Tiempo: 00:47:43
SISTEMA -> CPU: 98.5% | RAM: 62.8% | Temp: 27.8°C | Tiempo: 00:48:05
SISTEMA -> CPU: 98.4% | RAM: 62.7% | Temp: 27.8°C | Tiempo: 00:48:27
SISTEMA -> CPU: 98.4% | RAM: 62.8% | Temp: 27.8°C | Tiempo: 00:48:48
