SISTEMA -> CPU: 97.6% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:19:35
SISTEMA -> CPU: 97.6% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:19:47
SISTEMA -> CPU: 97.7% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:19:58
SISTEMA -> CPU: 97.7% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:20:10
SISTEMA -> CPU: 97.7% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:20:22
SISTEMA -> CPU: 97.6% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:20:33
SISTEMA -> CPU: 97.6% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:20:45
SISTEMA -> CPU: 97.8% | RAM: 37.3% | Temp: 27.8°C | Tiempo: 00:20:56
SISTEMA -> CPU: 97.7% | RAM: 37.4% | Temp: 27.8°C | Tiempo: 00:21:08
SISTEMA -> CPU: 97.6% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:21:20
SISTEMA -> CPU: 98.4% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:21:32
SISTEMA -> CPU: 97.7% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:21:43
SISTEMA -> CPU: 97.6% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:21:55
SISTEMA -> CPU: 97.6% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:22:06
SISTEMA -> CPU: 97.7% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:22:18
SISTEMA -> CPU: 97.7% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:22:29
SISTEMA -> CPU: 97.8% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:22:41
SISTEMA -> CPU: 97.6% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:22:53
SISTEMA -> CPU: 97.6% | RAM: 38.4% | Temp: 27.8°C | Tiempo: 00:23:04
SISTEMA -> CPU: 97.7% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:23:16
SISTEMA -> CPU: 97.6% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:23:27
SISTEMA -> CPU: 97.7% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:23:39
SISTEMA -> CPU: 97.8% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:23:51
SISTEMA -> CPU: 98.5% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:24:03
SISTEMA -> CPU: 97.7% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 00:24:15
SISTEMA -> CPU: 97.7% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:24:26
SISTEMA -> CPU: 97.6% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:24:38
SISTEMA -> CPU: 97.7% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:24:49
SISTEMA -> CPU: 97.6% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:25:01
SISTEMA -> CPU: 97.6% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:25:12
SISTEMA -> CPU: 97.8% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:25:24
SISTEMA -> CPU: 97.6% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:25:35
SISTEMA -> CPU: 97.8% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:25:47
SISTEMA -> CPU: 97.6% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:25:59
SISTEMA -> CPU: 97.6% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:26:10
SISTEMA -> CPU: 97.7% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:26:23
SISTEMA -> CPU: 98.4% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:26:34
SISTEMA -> CPU: 97.6% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:26:45
SISTEMA -> CPU: 97.8% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:26:57
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:27:09
SISTEMA -> CPU: 97.7% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:27:21
